subject,predicate,object,scope
O006-C140-CMP-CA02,references,O006-C140-CMP-MS01-P05-SOL,local
O006-C140-CMP-CA02,references,O006-C140-CMP-MS02-P05-SOL,local
O006-C140-CMP-CA02,references,O006-C140-CMP-MS02-P06-SOL,local
O006-C140-CMP-CA02,references,O006-C140-CMP-MS03-P03-SOL,local
O006-C140-CMP-CA02,references,O006-C140-CMP-MS03-P08-SOL,local
O006-C140-CMP-CA02,references,O006-C140-CMP-MS04-P07-SOL,local
O006-C140-CMP-CA02,references,O006-C140-CMP-MS04-P08-SOL,local
O006-C140-CMP-CA02,references,O006-C140-CMP-MS05-P06-SOL,local
O006-C140-CMP-CA02,references,O006-C140-CMP-MS05-P07-SOL,local
O006-C140-CMP-CA02,references,O006-C140-CMP-MS05-P08-SOL,local
O006-C140-CMP-CA02,references,O006-C140-CMP-MS06-P02-SOL,local
O006-C140-CMP-CA02,references,O006-C140-CMP-MS06-P08-SOL,local
O006-C140-CMP-CA02-P01,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P01-ANS,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P01-H01,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P01-H02,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P01-SOL,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P02,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P02-ANS,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P02-H01,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P02-H02,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P02-SOL,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P03,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P03-ANS,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P03-H01,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P03-H02,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P03-SOL,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P04,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P04-ANS,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P04-H01,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P04-H02,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P04-SOL,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P05,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P05-ANS,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P05-H01,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P05-H02,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P05-SOL,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P06,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P06-ANS,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P06-H01,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P06-H02,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P06-SOL,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P07,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P07-ANS,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P07-H01,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P07-H02,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P07-SOL,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P08,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P08-ANS,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P08-H01,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P08-H02,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P08-SOL,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P09,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P09-ANS,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P09-H01,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P09-H02,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P09-SOL,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P10,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P10-ANS,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P10-H01,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P10-H02,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-P10-SOL,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-RUB00,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-RUB01,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-RUB02,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-RUB03,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-RUB04,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-RUB05,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-RUB06,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-RUB07,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-RUB08,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-RUB09,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-RUB10,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA02-SEC01,belongs_to,O006-C140-CMP-CA02,local
O006-C140-CMP-CA03,assesses,O006-C140-CMP-D008,local
O006-C140-CMP-CA03,assesses,O006-C140-CMP-D009,local
O006-C140-CMP-CA03,assesses,O006-C140-CMP-D010,local
O006-C140-CMP-CA03,assesses,O006-C140-CMP-D011,local
O006-C140-CMP-CA03,assesses,O006-C140-CMP-MS12,local
O006-C140-CMP-CA03,assesses,O006-C140-CMP-SIM005,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D008-THM02,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D008-THM03,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D008-THM05,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D008-THM06,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D009-REM-GM-SCOPE,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D009-THM-GAUSS-MARKOV,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D009-THM-GAUSSIAN-MLE,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D009-THM-SIGMA-UNBIASED,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D010-THM03,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D010-THM06,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D010-THM07,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D010-THM08,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D010-THM09,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D010-THM10,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D011-CTR02,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D011-DEF02,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D011-EX02,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D011-THM01,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D011-THM03,local
O006-C140-CMP-CA03,references,O006-C140-CMP-D011-THM04,local
O006-C140-CMP-CA03,references,O006-C140-CMP-SIM005-REM01,local
O006-C140-CMP-CA03,references,O006-C140-CMP-SIM005-SEC04,local
O006-C140-CMP-CA03-P01,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P01-ANS,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P01-H01,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P01-H02,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P01-SOL,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P02,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P02-ANS,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P02-H01,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P02-H02,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P02-SOL,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P03,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P03-ANS,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P03-H01,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P03-H02,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P03-SOL,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P04,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P04-ANS,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P04-H01,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P04-H02,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P04-SOL,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P05,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P05-ANS,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P05-H01,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P05-H02,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P05-SOL,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P06,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P06-ANS,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P06-H01,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P06-H02,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P06-SOL,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P07,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P07-ANS,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P07-H01,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P07-H02,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P07-SOL,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P08,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P08-ANS,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P08-H01,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P08-H02,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P08-SOL,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P09,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P09-ANS,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P09-H01,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P09-H02,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P09-SOL,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P10,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P10-ANS,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P10-H01,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P10-H02,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-P10-SOL,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-RUB00,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-RUB01,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-RUB02,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-RUB03,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-RUB04,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-RUB05,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-RUB06,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-RUB07,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-RUB08,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-RUB09,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-RUB10,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA03-SEC01,belongs_to,O006-C140-CMP-CA03,local
O006-C140-CMP-CA04,assesses,O006-C140-CMP-D012,local
O006-C140-CMP-CA04,assesses,O006-C140-CMP-D013,local
O006-C140-CMP-CA04,assesses,O006-C140-CMP-MS11,local
O006-C140-CMP-CA04,assesses,O006-C140-CMP-SIM006,local
O006-C140-CMP-CA04,references,O006-C140-CMP-D012-CTR01,local
O006-C140-CMP-CA04,references,O006-C140-CMP-D012-DEF01,local
O006-C140-CMP-CA04,references,O006-C140-CMP-D012-DEF02,local
O006-C140-CMP-CA04,references,O006-C140-CMP-D012-DEF03,local
O006-C140-CMP-CA04,references,O006-C140-CMP-D012-DEF04,local
O006-C140-CMP-CA04,references,O006-C140-CMP-D012-REM03,local
O006-C140-CMP-CA04,references,O006-C140-CMP-D012-THM02,local
O006-C140-CMP-CA04,references,O006-C140-CMP-D012-THM04,local
O006-C140-CMP-CA04,references,O006-C140-CMP-D012-THM06,local
O006-C140-CMP-CA04,references,O006-C140-CMP-D012-THM09,local
O006-C140-CMP-CA04,references,O006-C140-CMP-D013-DEF02,local
O006-C140-CMP-CA04,references,O006-C140-CMP-D013-THM01,local
O006-C140-CMP-CA04,references,O006-C140-CMP-D013-THM03,local
O006-C140-CMP-CA04,references,O006-C140-CMP-D013-THM04,local
O006-C140-CMP-CA04,references,O006-C140-CMP-SIM006,local
O006-C140-CMP-CA04-P01,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P01-ANS,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P01-H01,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P01-H02,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P01-SOL,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P02,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P02-ANS,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P02-H01,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P02-H02,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P02-SOL,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P03,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P03-ANS,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P03-H01,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P03-H02,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P03-SOL,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P04,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P04-ANS,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P04-H01,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P04-H02,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P04-SOL,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P05,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P05-ANS,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P05-H01,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P05-H02,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P05-SOL,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P06,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P06-ANS,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P06-H01,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P06-H02,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P06-SOL,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P07,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P07-ANS,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P07-H01,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P07-H02,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P07-SOL,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P08,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P08-ANS,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P08-H01,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P08-H02,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P08-SOL,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P09,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P09-ANS,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P09-H01,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P09-H02,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P09-SOL,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P10,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P10-ANS,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P10-H01,belongs_to,O006-C140-CMP-CA04,local
O006-C140-CMP-CA04-P10-H02,belongs_to,O006-C140-CMP-CA04,local
